,KEY_CODE,CITY_NAME,AZA_CODE,AZA_NAME,総数（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,出向・派遣従業者のみ,総数（Ａ～Ｓ全産業）,男（Ａ～Ｓ全産業）,女（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,男Ａ～Ｒ全産業（Ｓ公務を除く）,女Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,民営事業所数,うち個人,うち法人,うち会社,会社以外の法人,民営従業者数,うち個人,うち法人,うち会社,会社以外の法人
0,261010000000001.0,京都市北区,100000100.0,出雲路神楽町,5,5,-,5,5,-,2,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,3,1,1,-,-,-,29,24,5,29,24,5,-,29,29,-,10,-,-,-,-,17,-,-,-,2,-,-,-,-,-,-,5,8,16,-,-,5,2,3,3,-,29,3,26,26,-
1,261010000000002.0,京都市北区,200000200.0,出雲路立テ本町,6,6,-,6,6,-,1,-,-,-,-,1,-,1,-,-,1,1,1,-,-,-,5,-,-,1,-,-,35,9,26,35,9,26,-,35,35,-,2,-,-,-,-,4,-,3,-,-,2,1,23,-,-,-,12,-,-,23,-,6,1,5,5,-,35,2,33,33,-
2,261010000000003.0,京都市北区,300000300.0,出雲路俵町,14,14,-,14,14,-,-,1,-,-,-,4,-,-,-,4,2,-,1,-,2,-,9,3,2,-,-,-,76,30,46,76,30,46,-,76,76,-,-,18,-,-,-,17,-,-,-,18,6,-,8,-,9,-,24,24,28,-,-,14,3,11,9,2,76,9,67,57,10
3,261010000000004.0,京都市北区,400000400.0,出雲路松ノ下町,5,5,-,5,5,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,2,-,4,1,-,-,-,-,13,6,7,13,6,7,-,13,13,-,-,-,-,-,-,-,-,1,-,5,-,-,3,-,4,-,8,5,-,-,-,5,2,3,2,1,13,4,9,6,3
4,261010000000005.0,京都市北区,500000500.0,大北山鏡石町,3,3,-,3,3,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,20,17,3,20,17,3,-,20,20,-,-,5,-,-,-,14,-,-,-,-,-,-,-,-,1,-,1,5,14,-,-,3,-,3,1,2,20,-,20,5,15
5,261010000000006.0,京都市北区,600000600.0,大北山天神岡町,1,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,1,2,1,1,-,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,1,1,-,2,-,2,2,-
6,261010000000007.0,京都市北区,700000700.0,大北山蓮ケ谷町,4,4,-,4,4,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,4,-,-,-,-,-,8,4,4,8,4,4,-,8,8,-,-,2,-,-,-,-,-,-,2,2,-,2,-,-,-,-,8,-,-,-,-,4,1,3,2,1,8,2,6,4,2
7,261010000000008.0,京都市北区,800000800.0,大北山長谷町,9,9,-,9,9,-,1,2,-,-,-,1,-,-,-,-,1,-,4,-,-,-,4,1,1,-,2,1,204,74,130,204,74,130,-,204,204,-,2,7,-,-,-,2,-,-,-,-,35,-,158,-,-,-,8,6,12,-,178,9,2,7,4,3,204,5,199,44,155
8,261010000000009.0,京都市北区,900000900.0,大北山原谷乾町,225,225,-,225,225,-,44,101,-,-,13,16,-,10,6,4,8,4,8,-,11,-,180,26,9,5,5,-,1093,606,484,1093,606,484,-,1093,1093,-,181,420,-,-,14,108,-,21,13,13,21,11,256,-,35,-,341,171,118,117,346,225,131,94,73,21,1093,278,815,556,259
9,261010000000010.0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
