,Reference area,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,SK:Slovak Republic,48.78,50.098333,50.411667,53.295,53.886667,52.783333,58.215,59.095833,60.464167,68.475,75.2525,76.8625,81.033333,89.6075,97.575834,104.624167,100,100.893333,100.373333,101.439167,101.406667,97.826667,97.94,97.695,99.320833,99.906667,102.185834,102.426667
1,CA:Canada,82.636667,80.656667,80.883333,80.550833,76.5225,75.746667,76.375833,74.410834,73.729167,81.439167,85.5625,90.705,95.7175,98.7975,96.153333,91.615834,99.999167,101.581667,100.875,97.1925,91.445,83.1125,81.6075,82.921667,82.3875,81.6675,80.725,84.595
2,GB:United Kingdom,112.085833,107.1675,109.039167,124.435833,131.225,130.849167,130.923333,127.900833,128.45,122.989167,127.605,124.826667,125.135833,127.034167,110.238333,99.515,100,100.474167,104.511667,103.091666,110.244167,115.123333,103.245,98.05,99.79,99.521667,99.625833,103.424167
3,CH:Switzerland,102.388334,108.775,105.014167,95.235,96.993334,95.860833,92.575,94.948334,98.465,98.991667,98.094167,95.794167,92.926667,89.003334,92.481667,96.206667,100.000833,109.510833,105.1225,103.466667,104.473333,110.485834,108.339167,106.151667,103.145833,104.296666,108.3525,105.471667
4,SA:Saudi Arabia,114.055,110.218333,111.9,115.590833,120.328333,115.750833,117.171667,119.3825,115.696667,104.7,97.031667,94.068334,93.04,89.46,91.1425,99.051667,100,97.585833,100.584167,102.951667,104.783334,114.118333,117.315,114.210833,113.115833,112.450833,115.3025,113.108334
5,FR:France,108.2475,110.525,109.509167,104.338334,105.463333,102.865,97.344167,97.103333,98.6575,103.670833,105.41,104.004167,103.250833,103.6475,104.026667,103.855833,99.998333,99.22,96.196666,97.22,97.305834,92.496667,93.273333,93.61,95.3025,93.8975,94.696667,93.990833
6,NZ:New Zealand,87.998333,93.789167,99.9925,101.504167,90.049167,85.525833,77.043333,75.983333,83.335833,94.999167,101.796667,107.200833,99.39,106.460834,98.7725,92.089167,99.999167,103.8625,106.540833,109.495,113.1225,104.245833,105.0625,106.935833,102.474167,100.835833,100.025,106.508333
7,SE:Sweden,119.688334,119.605833,128.093333,119.845834,116.675,114.143334,111.074166,102.1,105.009166,111.515834,111.844167,106.7925,105.835833,107.174167,104.648333,94.448334,100.000833,105.768334,105.165,106.350833,100.909167,93.784167,94.455833,93.590833,89.503334,86.210833,88.191667,90.654167
8,BR:Brazil,83.895833,92.566667,97.563333,99.965833,98.145833,65.201667,70.4075,59.638333,55.3225,53.731667,56.095833,69.075,77.274167,83.590833,87.849167,87.940834,100.000833,104.705834,94.704167,90.221667,89.308333,74.6225,79.2675,86.3525,77.24,75.834167,60.185,58.1875
9,SI:Slovenia,88.438334,96.955,92.190833,92.953333,97.148333,97.0975,95.085,95.028333,96.9275,99.173333,98.830833,97.939167,97.91,99.099167,101.081667,102.4275,100.000834,99.159167,97.885,99.020833,98.995833,95.7375,96.131667,96.238334,97.545833,97.205833,97.568334,97.103333
